,isin,company_name,industry_rating,market_cap
0,INE466L01038,360 One WAM Limited,Capital Markets,Mid Cap
1,US88579Y1010,3M CO,Industrial Conglomerates,Unknown
2,INE470A01017,3M India Limited,Diversified,Mid Cap
3,INE111B01023,63 Moons Technologies Limited,IT - Software,Small Cap
4,INE117A01022,ABB India Limited,Electrical Equipment,Large Cap
5,INE012A01025,ACC Limited,Cement & Cement Products,Mid Cap
6,INE982B01027,ADF Foods Limited,Food Products,Small Cap
7,INE14LE01019,ADITYA BIRLA LIFESTYLE BRANDS LIMITED,Retailing,Small Cap
8,US00130H1059,AES Corp/VA,Independent Power Producers & Energy Traders,Unknown
9,US0010551028,AFLAC INC,Life & Health Insurance,Unknown
10,INE321D01016,AG Ventures  Limited,Chemicals & Petrochemicals,Small Cap
11,INE415A01038,AGI Greenpac Ltd.,Industrial Products,Small Cap
12,INE583L01014,AGS Transact Technologies Limited,Financial Technology (Fintech),Small Cap
13,INE212H01026,AIA Engineering Limited,Industrial Products,Mid Cap
14,HK0000069689,AIA Group Ltd,Life & Health Insurance,Unknown
15,US0311001004,AMETEK Inc,Electrical Components & Equipment,Unknown
16,US8318652091,AO Smith Corp,Building Products,Unknown
17,INE702C01027,APL Apollo Tubes Limited,Industrial Products,Mid Cap
18,US0394831020,ARCHER-DANIELS-MIDLAND CO,Agricultural Products & Services,Unknown
19,INE491J01022,ASK Automotive Ltd.,Auto Components,Small Cap
20,KYG0535Q1331,ASM Pacific Technology ORD SHS,Semiconductor Materials & Equipment,Unknown
21,USN070592100,ASML Holding NV,Semiconductor Materials & Equipment,Unknown
22,US00206R1023,AT&T Inc.,Telecommunication Services,Unknown
23,INE949L01017,AU Small Finance Bank Limited,Banks,Mid Cap
24,INE699H01024,AWL Agri Business Limited,Agricultural Food & other Products,Mid Cap
25,INE883F01010,Aadhar Housing Finance Limited,Finance,Small Cap
26,INE767A01016,Aarti Drugs Ltd.,Pharmaceuticals & Biotechnology,Small Cap
27,INE769A01020,Aarti Industries Limited,Chemicals & Petrochemicals,Small Cap
28,INE0LRU01027,Aarti Pharmalabs Limited,Pharmaceuticals & Biotechnology,Small Cap
29,INE216P01012,Aavas Financiers Limited,Finance,Small Cap
30,US00287Y1091,AbbVie Inc,Biotechnology,Unknown
31,INE358A01014,Abbott India Limited,Pharmaceuticals & Biotechnology,Mid Cap
32,US0028241000,Abbott Laboratories,Health Care Equipment,Unknown
33,INE793A01012,Accelya Solutions India Limited,IT - Software,Small Cap
34,IE00B4BNMY34,Accenture Plc,It Consulting & Other Services,Unknown
35,TW0002345006,Accton Technology Corporation,Communications Equipment,Unknown
36,INE622W01025,Acme Solar Holdings Ltd,Power,Small Cap
37,INE731H01025,Action Construction Equipment Limited,"Agricultural, Commercial & Construction Vehicles",Small Cap
38,INE00FF01025,Acutaas Chemicals Limited,Pharmaceuticals & Biotechnology,Small Cap
39,INE931S01010,Adani Energy Solutions Limited,Power,Large Cap
40,INE423A01024,Adani Enterprises Limited,Metals & Minerals Trading,Large Cap
41,INE364U01010,Adani Green Energy Limited,Power,Large Cap
42,INE742F01042,Adani Ports and Special Economic Zone Limited,Transport Infrastructure,Large Cap
43,INE814H01011,Adani Power Limited,Power,Large Cap
44,INE674K01013,Aditya Birla Capital Limited,Finance,Mid Cap
